epoch,accuracy,loss,val_accuracy,val_loss
0,0.6612233519554138,0.9701381325721741,0.6945244669914246,0.9069724082946777
1,0.7968447208404541,0.5713907480239868,0.6974063515663147,0.7924560904502869
2,0.8555217385292053,0.412406861782074,0.6974063515663147,0.7939261198043823
3,0.8773872256278992,0.33784234523773193,0.6974063515663147,0.8283571600914001
4,0.9058953523635864,0.27513387799263,0.7031700015068054,0.8489801287651062
5,0.9194574952125549,0.23287846148014069,0.6916426420211792,0.896543025970459
6,0.9391087889671326,0.19413916766643524,0.6772334575653076,0.9416147470474243
7,0.949349582195282,0.16731032729148865,0.6743515729904175,0.9993748664855957
8,0.9562690258026123,0.14317330718040466,0.6772334575653076,1.082319736480713
9,0.9618045687675476,0.12905845046043396,0.6772334575653076,1.107682228088379
10,0.9670633673667908,0.10956800729036331,0.6628242135047913,1.184732437133789
11,0.9684472680091858,0.1103295236825943,0.6916426420211792,1.2107059955596924
12,0.9709382653236389,0.09795881062746048,0.6974063515663147,1.2506245374679565
13,0.9723221659660339,0.09403592348098755,0.6599423885345459,1.2481054067611694
14,0.9731525182723999,0.08733208477497101,0.6657060384750366,1.3257008790969849
15,0.975643515586853,0.08338436484336853,0.6628242135047913,1.3366578817367554
16,0.9748131632804871,0.07996620982885361,0.6685879230499268,1.3397424221038818
17,0.9753667116165161,0.08238274604082108,0.7118155360221863,1.3722052574157715
18,0.9753667116165161,0.0738314613699913,0.6628242135047913,1.408565878868103
19,0.9761970639228821,0.06839866936206818,0.6541786789894104,1.4745515584945679
20,0.9773041605949402,0.06643826514482498,0.6829971075057983,1.455170750617981
21,0.975643515586853,0.06704931706190109,0.6570605039596558,1.4689325094223022
22,0.9795184135437012,0.062101252377033234,0.6657060384750366,1.539565920829773
23,0.9773041605949402,0.06254584342241287,0.6628242135047913,1.493643879890442
24,0.9800719618797302,0.057617828249931335,0.6829971075057983,1.546037197113037
